position,name,score,love_points
1,kismi,287480354613,566808202520.0000
2,ZEAS,253661305618,2302636088.7800
3,facepalm,199071377082,7720687437.2900
4,tyop,187045740077,17833454121.2000
5,cat_loic,151157344314,2757972521.6400
6,robisous,109421747257,0.0000
7,Petrus,43459683497,11895399.1992
8,Sparkette,20797799084,875953127.7700
9,yazzz,16197955294,457228861.7260
10,alzeheimer,15712408653,117050706799.0000
11,Mr_KaLiMaN,15707811876,109500029098.0000
12,sakul,14683240695,520648778.4080
13,BiD0rD,13386412475,95767219498.2000
14,Oceane,12744419252,99542885168.1000
15,Awe_,12443828134,82350730423.3000
16,Duncan,12166857523,85413552082.2000
17,Bebeoix,9985036956,78893804936.0000
18,angellina666,6388626353,209344723.4650
19,Neko,5949769949,144658296.7410
20,marvin2,4199709646,137.0312
